,names,mass,distance,discovery_year,stellar_magnitude
0,11 Comae Berenices b,19.4 Jupiters,304,2007,4.72307
1,11 Ursae Minoris b,14.74 Jupiters,409,2009,5.013
2,14 Andromedae b,4.8 Jupiters,246,2008,5.23133
3,14 Herculis b,4.66 Jupiters,58,2002,6.61935
4,16 Cygni B b,1.78 Jupiters,69,1996,6.215
5,17 Scorpii b,4.32 Jupiters,408,2020,5.22606
6,18 Delphini b,10.3 Jupiters,249,2008,5.51048
7,1RXS J160929.1-210524 b,8 Jupiters,454,2008,12.618
8,24 Bootis b,0.91 Jupiters,313,2018,5.59
9,24 Sextantis b,1.99 Jupiters,235,2010,6.4535
10,24 Sextantis c,0.86 Jupiters,235,2010,6.4535
11,2M0437 b,4 Jupiters,419,2021,16.186
12,2MASS J01033563-5515561 AB b,13 Jupiters,154,2013,15.788
13,2MASS J01225093-2439505 b,24.5 Jupiters,110,2013,14.244
14,2MASS J02192210-3925225 b,13.9 Jupiters,131,2015,15.0123
15,2MASS J04414489+2301513 b,7.5 Jupiters,393,2010,18.9668
16,2MASS J12073346-3932539 b,5 Jupiters,210,2004,20.15
17,2MASS J19383260+4603591 b,1.9 Jupiters,1293,2015,12.651
18,2MASS J21402931+1625183 A b,20.95 Jupiters,108,2009,17.3961
19,2MASS J22362452+4751425 b,12.5 Jupiters,227,2016,12.368
20,30 Arietis B b,13.82 Jupiters,146,2009,7.09209
21,42 Draconis b,3.88 Jupiters,296,2008,4.8262
22,47 Ursae Majoris b,2.53 Jupiters,45,1996,5.03352
23,47 Ursae Majoris c,0.54 Jupiters,45,2001,5.03352
24,47 Ursae Majoris d,1.64 Jupiters,45,2009,5.03352
25,4 Ursae Majoris b,7.1 Jupiters,240,2006,4.5801
26,51 Eridani b,2 Jupiters,97,2015,5.21149
27,51 Pegasi b,0.46 Jupiters,50,1995,5.45309
28,55 Cancri b,0.8306 Jupiters,41,1996,5.95084
29,55 Cancri c,0.1714 Jupiters,41,2004,5.95084
30,55 Cancri d,3.878 Jupiters,41,2002,5.95084
31,55 Cancri e,7.99 Earths,41,2004,5.95084
32,55 Cancri f,0.141 Jupiters,41,2007,5.95084
33,61 Virginis b,5.1 Earths,28,2009,4.6955
34,61 Virginis c,18.2 Earths,28,2009,4.6955
35,61 Virginis d,22.9 Earths,28,2009,4.6955
36,6 Lyncis b,2.01 Jupiters,178,2008,5.87307
37,70 Virginis b,7.49 Jupiters,58,1996,4.96808
38,75 Ceti b,3 Jupiters,271,2012,5.3532
39,7 Canis Majoris b,1.85 Jupiters,65,2011,3.95
40,7 Canis Majoris c,0.87 Jupiters,65,2019,3.95
41,81 Ceti b,5.3 Jupiters,330,2008,5.64307
42,8 Ursae Minoris b,1.31 Jupiters,530,2015,6.83295
43,91 Aquarii b,3.2 Jupiters,144,2013,4.23946
44,AB Aurigae b,9 Jupiters,529,2022,7.076
45,AB Pictoris b,13.5 Jupiters,163,2005,9.13
46,Alpha Arietis b,1.8 Jupiters,66,2010,2.00538
47,Alpha Tauri b,6.47 Jupiters,67,2015,0.872
48,AU Microscopii b,20.12 Earths,32,2020,8.81
49,AU Microscopii c,9.6 Earths,32,2021,8.81
50,b Centauri AB b,10.9 Jupiters,320,2021,4.01
51,BD-00 4475 b,25.05 Jupiters,139,2021,9.01
52,BD+03 2562 b,6.4 Jupiters,3492,2017,9.577
53,BD-06 1339 b,8.5 Earths,66,2013,9.7
54,BD-06 1339 c,0.17 Jupiters,66,2013,9.7
55,BD-08 2823 b,12.7132 Earths,135,2009,9.86
56,BD-08 2823 c,0.33 Jupiters,135,2009,9.86
57,BD-10 3166 b,0.59 Jupiters,275,2000,10.013
58,BD-11 4672 b,0.65 Jupiters,89,2014,10.03
59,BD-11 4672 c,15.37 Earths,89,2020,10.03
60,BD-13 2130 b,9.78 Jupiters,3018,2007,10.038
61,BD+14 4559 b,1.04 Jupiters,161,2009,9.78
62,BD+15 2375 b,1.061 Jupiters,2505,2016,10.41
63,BD+15 2940 b,1.11 Jupiters,1391,2013,9.01
64,BD-17 63 b,5.1 Jupiters,112,2008,9.62
65,BD+20 2457 b,55.59 Jupiters,5023,2009,9.743
66,BD+20 2457 c,12.47 Jupiters,5023,2009,9.743
67,BD+20 274 b,4.2 Jupiters,4314,2012,9.367
68,BD+20 594 b,22.2481 Earths,585,2016,10.849
69,BD+45 564 b,1.36 Jupiters,175,2021,9.67
70,BD+48 738 b,0.91 Jupiters,2843,2011,9.139
71,BD+48 740 b,1.7 Jupiters,2174,2018,8.69
72,BD+49 828 b,1.6 Jupiters,1442,2015,9.381
73,BD+55 362 b,0.72 Jupiters,171,2021,9.38
74,BD+60 1417 b,15 Jupiters,147,2021,9.374
75,BD+63 1405 b,3.96 Jupiters,124,2021,8.96
76,Beta Cancri b,7.8 Jupiters,290,2014,3.51012
77,Beta Pictoris b,11 Jupiters,64,2008,3.85
78,Beta Pictoris c,9 Jupiters,64,2019,3.85
79,Beta Ursae Minoris b,6.1 Jupiters,126,2014,2.0569
80,CD Ceti b,3.95 Earths,28,2020,13.95
