,planet_type,radius,orbital_radius,orbital_days,eccentricity,detection_method
0,Gas Giant,1.08 x Jupiter(estimate),1.29,326.0,0.23,Radial Velocity
1,Gas Giant,1.09 x Jupiter(estimate),1.53,1.4,0.08,Radial Velocity
2,Gas Giant,1.15 x Jupiter(estimate),0.83,185.8,0.0,Radial Velocity
3,Gas Giant,1.15 x Jupiter(estimate),2.93,4.9,0.37,Radial Velocity
4,Gas Giant,1.2 x Jupiter(estimate),1.66,2.2,0.68,Radial Velocity
5,Gas Giant,1.15 x Jupiter(estimate),1.45,1.6,0.06,Radial Velocity
6,Gas Giant,1.11 x Jupiter(estimate),2.6,2.7,0.08,Radial Velocity
7,Gas Giant,1.664 x Jupiter,330.0,6505.9,0.0,Direct Imaging
8,Gas Giant,1.24 x Jupiter(estimate),0.19,30.4,0.04,Radial Velocity
9,Gas Giant,1.19 x Jupiter(estimate),1.333,452.8,0.09,Radial Velocity
10,Gas Giant,1.24 x Jupiter(estimate),2.08,2.4,0.29,Radial Velocity
11,Gas Giant,1.16 x Jupiter(estimate),118.0,3110.6,0.0,Direct Imaging
12,Gas Giant,1.1 x Jupiter(estimate),84.0,1767.2,0.0,Direct Imaging
13,Gas Giant,1.0 x Jupiter,52.0,593.2,0.0,Direct Imaging
14,Gas Giant,1.44 x Jupiter,156.0,5878.1,0.0,Direct Imaging
15,Gas Giant,1.13 x Jupiter(estimate),15.0,411.0,0.0,Direct Imaging
16,Gas Giant,1.15 x Jupiter(estimate),55.0,2885.9,0.0,Direct Imaging
17,Gas Giant,1.2 x Jupiter(estimate),0.92,406.0,0.33,Eclipse Timing Variations
18,Gas Giant,0.92 x Jupiter,Unknown,20.1,0.26,Direct Imaging
19,Gas Giant,1.1 x Jupiter(estimate),230.0,4505.7,0.0,Direct Imaging
20,Gas Giant,1.1 x Jupiter(estimate),0.99,335.1,0.29,Radial Velocity
21,Gas Giant,1.16 x Jupiter(estimate),1.19,479.1,0.38,Radial Velocity
22,Gas Giant,1.18 x Jupiter(estimate),2.1,3.0,0.03,Radial Velocity
23,Gas Giant,1.27 x Jupiter(estimate),3.6,6.6,0.1,Radial Velocity
24,Gas Giant,1.2 x Jupiter(estimate),11.6,38.4,0.16,Radial Velocity
25,Gas Giant,1.13 x Jupiter(estimate),0.87,269.3,0.43,Radial Velocity
26,Gas Giant,1.19 x Jupiter(estimate),13.2,32.0,0.45,Direct Imaging
27,Gas Giant,1.27 x Jupiter(estimate),0.0527,4.2,0.01,Radial Velocity
28,Gas Giant,1.24 x Jupiter(estimate),0.1134,14.7,0.0,Radial Velocity
29,Gas Giant,0.76 x Jupiter(estimate),0.2373,44.4,0.03,Radial Velocity
30,Gas Giant,1.16 x Jupiter(estimate),5.957,15.3,0.13,Radial Velocity
31,Super Earth,1.875 x Earth,0.01544,0.7,0.05,Radial Velocity
32,Gas Giant,0.677 x Jupiter(estimate),0.7708,259.9,0.08,Radial Velocity
33,Neptune-like,2.11 x Earth(estimate),0.050201,4.2,0.12,Radial Velocity
34,Neptune-like,0.398 x Jupiter(estimate),0.2175,38.0,0.14,Radial Velocity
35,Neptune-like,0.456 x Jupiter(estimate),0.476,123.0,0.35,Radial Velocity
36,Gas Giant,1.19 x Jupiter(estimate),2.11,2.6,0.07,Radial Velocity
37,Gas Giant,1.13 x Jupiter(estimate),0.481,116.7,0.4,Radial Velocity
38,Gas Giant,1.17 x Jupiter(estimate),2.1,1.9,0.12,Radial Velocity
39,Gas Giant,1.2 x Jupiter(estimate),1.758,2.0,0.06,Radial Velocity
40,Gas Giant,1.24 x Jupiter(estimate),2.153,2.7,0.08,Radial Velocity
41,Gas Giant,1.14 x Jupiter(estimate),2.5,2.6,0.21,Radial Velocity
42,Gas Giant,1.22 x Jupiter(estimate),0.49,93.4,0.06,Radial Velocity
43,Gas Giant,1.17 x Jupiter(estimate),0.7,181.4,0.03,Radial Velocity
44,Gas Giant,1.12 x Jupiter(estimate),93.9,587.7,0.4,Direct Imaging
45,Gas Giant,1.1 x Jupiter(estimate),260.0,4421.7,0.0,Direct Imaging
46,Gas Giant,1.2 x Jupiter(estimate),1.2,380.8,0.25,Radial Velocity
47,Gas Giant,1.13 x Jupiter(estimate),1.46,1.7,0.1,Radial Velocity
48,Neptune-like,0.363 x Jupiter,0.0645,8.5,0.19,Transit
49,Neptune-like,0.289 x Jupiter,0.1101,18.9,0.04,Transit
50,Gas Giant,1.11 x Jupiter(estimate),556.0,4904.1,< 0.4,Direct Imaging
51,Gas Giant,1.07 x Jupiter(estimate),1.48,2.0,0.39,Radial Velocity
52,Gas Giant,1.13 x Jupiter(estimate),1.3,481.9,0.2,Radial Velocity
53,Neptune-like,0.254 x Jupiter(estimate),0.0428,3.9,0.0,Radial Velocity
54,Gas Giant,0.747 x Jupiter(estimate),0.435,125.9,0.31,Radial Velocity
55,Neptune-like,0.322 x Jupiter(estimate),0.06,5.6,0.15,Radial Velocity
56,Gas Giant,1.11 x Jupiter(estimate),0.68,237.6,0.19,Radial Velocity
57,Gas Giant,1.26 x Jupiter(estimate),0.04,3.5,0.02,Radial Velocity
58,Gas Giant,1.25 x Jupiter(estimate),2.36,4.5,0.05,Radial Velocity
59,Neptune-like,0.36 x Jupiter(estimate),0.3,74.2,0.4,Radial Velocity
60,Gas Giant,1.11 x Jupiter(estimate),1.66,2.0,0.21,Radial Velocity
61,Gas Giant,1.23 x Jupiter(estimate),0.78,268.9,0.29,Radial Velocity
62,Gas Giant,1.23 x Jupiter(estimate),0.576,153.2,0.0,Radial Velocity
63,Gas Giant,1.23 x Jupiter(estimate),0.539,137.5,0.26,Radial Velocity
64,Gas Giant,1.15 x Jupiter(estimate),1.34,1.8,0.54,Radial Velocity
65,Gas Giant,1.03 x Jupiter(estimate),1.05,379.6,0.15,Radial Velocity
66,Gas Giant,1.1 x Jupiter(estimate),2.01,1.7,0.18,Radial Velocity
67,Gas Giant,1.16 x Jupiter(estimate),1.3,1.6,0.21,Radial Velocity
68,Neptune-like,0.23 x Jupiter,0.241,41.7,0.0,Transit
69,Gas Giant,1.21 x Jupiter(estimate),0.83,307.9,0.12,Radial Velocity
70,Gas Giant,1.24 x Jupiter(estimate),1.0,392.6,0.2,Radial Velocity
71,Gas Giant,1.2 x Jupiter(estimate),1.7,2.0,0.76,Radial Velocity
72,Gas Giant,1.21 x Jupiter(estimate),4.2,7.1,0.35,Radial Velocity
73,Gas Giant,1.25 x Jupiter(estimate),0.78,265.6,0.27,Radial Velocity
74,Gas Giant,1.31 x Jupiter,1662.0,67794.6,0.0,Direct Imaging
75,Gas Giant,1.16 x Jupiter(estimate),2.06,3.3,0.88,Radial Velocity
76,Gas Giant,1.12 x Jupiter(estimate),1.7,1.7,0.08,Radial Velocity
77,Gas Giant,1.65 x Jupiter,9.1,21.0,0.08,Direct Imaging
78,Gas Giant,1.12 x Jupiter(estimate),2.7,3.3,0.24,Radial Velocity
79,Gas Giant,1.14 x Jupiter(estimate),1.4,1.4,0.19,Radial Velocity
80,Super Earth,1.82 x Earth(estimate),0.0185,2.3,0.0,Radial Velocity
81,Gas Giant,1.11 x Jupiter(estimate),2.6,27.5,0.0,Direct Imaging
82,Gas Giant,1.86 x Jupiter,200.0,22027.4,0.0,Direct Imaging
83,Gas Giant,1.1 x Jupiter(estimate),210.0,5146.9,0.0,Direct Imaging
84,Gas Giant,1.11 x Jupiter(estimate),Unknown,9.0,0.25,Radial Velocity
85,Gas Giant,1.11 x Jupiter,7506.0,1101369.9,0.0,Direct Imaging
86,Gas Giant,0.97 x Jupiter,0.1055,13.2,0.53,Transit
87,Gas Giant,1.43 x Jupiter,0.0436,3.0,0.0,Transit
88,Gas Giant,1.44 x Jupiter,0.04016,2.8,0.07,Transit
89,Gas Giant,0.885 x Jupiter,0.051,4.0,0.0,Transit
90,Gas Giant,1.09 x Jupiter,0.027,1.5,0.0,Transit
91,Gas Giant,1.17 x Jupiter,0.0618,5.4,0.33,Transit
92,Gas Giant,1.02 x Jupiter,0.0461,3.8,0.0,Transit
93,Gas Giant,1.31 x Jupiter,0.0295,1.9,< 0.08,Transit
94,Gas Giant,1.29 x Jupiter,0.0518,3.9,0.05,Transit
95,Gas Giant,1.49 x Jupiter,0.02752,1.5,0.0,Transit
96,Gas Giant,0.84 x Jupiter,0.09,9.2,0.59,Transit
97,Gas Giant,1.09 x Jupiter(estimate),2.9,4.6,0.6,Radial Velocity
98,Gas Giant,1.3 x Jupiter,0.0417,2.7,0.0,Transit
99,Neptune-like,0.435 x Jupiter,0.092,9.8,0.08,Transit
100,Gas Giant,1.05 x Jupiter,0.048,3.6,0.16,Transit
101,Neptune-like,0.33 x Jupiter,0.056,5.1,0.0,Transit
102,Neptune-like,0.44 x Jupiter,0.098,11.8,0.0,Transit
103,Gas Giant,1.08 x Jupiter,0.0578,4.9,0.0,Transit
104,Gas Giant,1.26 x Jupiter,0.0526,4.2,0.0,Transit
105,Gas Giant,1.007 x Jupiter,0.0476,3.6,< 0.065,Transit
106,Gas Giant,0.955 x Jupiter,0.0603,5.2,0.05,Transit
107,Gas Giant,0.9 x Jupiter,0.0386,2.9,0.08,Transit
108,Gas Giant,1.466 x Jupiter,0.02798,1.7,0.01,Transit
109,Gas Giant,1.009 x Jupiter,0.0844,9.1,0.01,Transit
110,Gas Giant,1.46 x Jupiter,0.0586,4.6,0.02,Transit
111,Gas Giant,1.01 x Jupiter,0.05783,4.3,0.0,Transit
112,Gas Giant,1.19 x Jupiter,0.09,9.2,0.0,Transit
113,Gas Giant,1.388 x Jupiter,0.04947,4.0,0.09,Transit
114,Gas Giant,1.166 x Jupiter,0.0855,8.9,< 0.1,Transit
115,Super Earth,1.681 x Earth,0.017016,0.9,0.0,Transit
116,Neptune-like,0.253 x Jupiter(estimate),0.046,3.7,0.0,Radial Velocity
117,Gas Giant,0.57 x Jupiter,0.063,6.2,0.0,Transit
118,Gas Giant,1.066 x Jupiter,0.4021,95.3,0.13,Transit
119,Gas Giant,0.57 x Jupiter,0.071,6.7,0.0,Transit
120,Gas Giant,2.2 x Jupiter,440.0,inf,0.0,Direct Imaging
121,Gas Giant,1.1 x Jupiter(estimate),5.75,11.2,0.0,Eclipse Timing Variations
122,Gas Giant,1.06 x Jupiter(estimate),0.36,246.4,0.35,Astrometry
123,Gas Giant,2.7 x Jupiter,330.0,10441.5,0.0,Direct Imaging
124,Neptune-like,0.472 x Jupiter(estimate),0.1462,18.6,< 0.083,Radial Velocity
125,Neptune-like,0.273 x Jupiter(estimate),0.0733,6.6,< 0.057,Radial Velocity
126,Super Earth,1.65 x Earth(estimate),0.0422,2.9,< 0.07,Radial Velocity
127,Super Earth,1.86 x Earth(estimate),0.0651,5.5,< 0.07,Radial Velocity
128,Gas Giant,1.28 x Jupiter(estimate),0.0664,5.2,0.08,Radial Velocity
129,Super Earth,1.41 x Earth(estimate),0.0662,6.7,0.14,Radial Velocity
130,Gas Giant,1.14 x Jupiter(estimate),8.19,28.0,0.39,Eclipse Timing Variations
131,Neptune-like,0.509 x Jupiter,Unknown,8.1,0.0,Transit
132,Super Earth,1.047 x Earth,0.0349,6.8,0.0,Transit
133,Super Earth,1.87 x Earth,Unknown,28.2,0.0,Transit
134,Super Earth,1.5 x Earth,Unknown,0.7,0.0,Transit
135,Terrestrial,0.692 x Earth,Unknown,2.1,0.0,Transit
136,Super Earth,1.3 x Earth,Unknown,0.9,0.0,Transit
137,Super Earth,1.22 x Earth,Unknown,3.8,0.0,Transit
138,Super Earth,1.03 x Earth,Unknown,2.7,0.0,Transit
139,Terrestrial,0.908 x Earth,0.0296,2.0,0.0,Transit
140,Terrestrial,1.0 x Earth,Unknown,4.0,0.0,Transit
141,Super Earth,1.04 x Earth,0.035,4.2,0.0,Transit
142,Super Earth,1.31 x Earth,Unknown,8.1,0.0,Transit
143,Super Earth,1.7 x Earth,Unknown,4.5,0.0,Transit
144,Super Earth,1.4 x Earth,Unknown,0.9,0.0,Transit
145,Neptune-like,0.232 x Jupiter,Unknown,14.6,0.0,Transit
146,Super Earth,1.01 x Earth,Unknown,2.9,0.0,Transit
147,Super Earth,1.7 x Earth,Unknown,5.3,0.0,Transit
148,Super Earth,1.2 x Earth,Unknown,0.4,0.0,Transit
