iter	Passed	Remaining
0	139	139326
1	148	73959
2	157	52399
3	166	41444
4	175	34987
5	184	30628
6	194	27531
7	203	25195
8	212	23386
9	221	21920
10	230	20701
11	239	19711
12	248	18868
13	257	18170
14	267	17540
15	276	17025
16	285	16528
17	294	16081
18	303	15687
19	312	15328
20	321	15011
21	331	14718
22	340	14455
23	349	14215
24	359	14025
25	368	13820
26	377	13621
27	387	13449
28	396	13272
29	405	13110
30	414	12956
31	423	12818
32	432	12682
33	441	12554
34	450	12434
35	460	12325
36	469	12219
37	478	12107
38	487	12009
39	496	11913
40	505	11820
41	514	11735
42	523	11653
43	532	11572
44	541	11498
45	551	11432
46	560	11361
47	569	11298
48	578	11235
49	588	11173
50	596	11104
51	605	11043
52	614	10982
53	623	10930
54	632	10868
55	642	10822
56	651	10770
57	660	10719
58	669	10671
59	678	10623
60	687	10576
61	696	10532
62	704	10483
63	713	10441
64	723	10401
65	732	10360
66	741	10319
67	750	10281
68	759	10243
69	768	10207
70	777	10170
71	786	10135
72	795	10100
73	804	10067
74	813	10030
75	822	9998
76	831	9965
77	840	9933
78	849	9904
79	858	9872
80	867	9840
81	876	9812
82	885	9785
83	894	9756
84	903	9730
85	912	9703
86	921	9674
87	931	9649
88	940	9622
89	949	9601
90	958	9578
91	968	9558
92	977	9531
93	986	9510
94	996	9490
95	1004	9463
96	1014	9446
97	1023	9423
98	1032	9399
99	1041	9377
100	1051	9358
101	1060	9335
102	1069	9315
103	1078	9294
104	1087	9272
105	1096	9250
106	1105	9227
107	1114	9207
108	1123	9185
109	1132	9165
110	1141	9143
111	1150	9125
112	1159	9105
113	1168	9083
114	1177	9063
115	1186	9044
116	1195	9025
117	1204	9003
118	1213	8986
119	1222	8966
120	1231	8949
121	1240	8929
122	1249	8909
123	1258	8890
124	1267	8875
125	1276	8856
126	1285	8838
127	1294	8819
128	1303	8800
129	1312	8782
130	1320	8762
131	1330	8748
132	1339	8731
133	1348	8717
134	1357	8701
135	1367	8685
136	1376	8669
137	1385	8652
138	1394	8635
139	1403	8619
140	1412	8605
141	1421	8587
142	1430	8572
143	1439	8554
144	1448	8539
145	1457	8523
146	1466	8509
147	1475	8493
148	1484	8479
149	1493	8464
150	1502	8450
151	1511	8433
152	1520	8418
153	1529	8404
154	1538	8389
155	1548	8377
156	1557	8363
157	1566	8348
158	1575	8335
159	1584	8319
160	1593	8304
161	1602	8290
162	1611	8276
163	1620	8261
164	1629	8248
165	1638	8233
166	1647	8218
167	1656	8204
168	1665	8191
169	1675	8178
170	1683	8163
171	1692	8148
172	1701	8135
173	1710	8121
174	1719	8106
175	1728	8094
176	1737	8081
177	1746	8067
178	1755	8053
179	1764	8039
180	1773	8026
181	1782	8012
182	1791	7999
183	1800	7986
184	1809	7972
185	1818	7958
186	1827	7945
187	1836	7931
188	1845	7917
189	1854	7904
190	1863	7891
191	1872	7878
192	1881	7865
193	1890	7852
194	1899	7839
195	1907	7826
196	1916	7813
197	1925	7799
198	1934	7786
199	1943	7773
200	1952	7760
201	1961	7749
202	1971	7738
203	1980	7725
204	1989	7714
205	1998	7701
206	2006	7688
207	2015	7674
208	2024	7661
209	2033	7650
210	2042	7637
211	2051	7625
212	2060	7613
213	2069	7601
214	2078	7589
215	2087	7578
216	2096	7565
217	2105	7553
218	2114	7541
219	2123	7529
220	2132	7516
221	2141	7505
222	2150	7493
223	2160	7483
224	2169	7471
225	2177	7458
226	2186	7446
227	2195	7434
228	2204	7422
229	2213	7410
